designator,mid X,mid Y,layer,rotation
C1,106.060000,-119.380000,top,90
C2,88.392000,-106.680000,top,90
C3,106.040000,-122.990000,top,270
C4,84.550000,-103.840000,top,0
C5,81.690000,-106.810000,top,90
C6,92.710000,-118.618000,top,270
C7,103.760000,-102.730000,top,270
C8,80.390000,-113.284000,top,0
C9,77.040000,-113.284000,top,180
C10,119.380000,-124.206000,top,90
C11,89.929000,-125.984000,top,0
C12,119.888000,-79.502000,top,180
C13,92.070000,-92.880000,top,180
C14,75.438000,-84.074000,top,0
C15,103.780000,-99.390000,top,90
D1,92.710000,-114.554000,top,270
D2,80.290000,-115.780000,top,180
D3,113.030000,-76.454000,top,180
D4,87.122000,-102.108000,top,0
D5,88.392000,-116.586000,top,0
Q1,101.260000,-111.012500,top,270
Q2,97.330000,-110.982500,top,270
R1,99.060000,-113.712500,top,180
R2,96.850000,-113.742500,top,180
R3,97.790000,-70.104000,top,270
R4,95.474000,-70.094000,top,270
R5,115.316000,-76.454000,top,0
R6,86.760000,-103.632000,top,270
R7,85.090000,-119.382000,top,270
R8,86.360000,-116.332000,top,0
R9,95.850000,-95.500000,top,270
R10,97.028000,-95.504000,top,270
R11,107.950000,-70.358000,top,90
R12,79.800000,-110.236000,top,180
R13,115.824000,-120.514000,top,0
R14,79.820000,-111.610000,top,180
R15,104.802000,-94.488000,top,270
R16,106.122000,-94.488000,top,270
R17,103.452000,-94.488000,top,270
R18,94.760000,-109.782500,top,90
R19,92.964000,-123.444000,top,270
R20,109.474000,-100.584000,top,90
R21,98.640000,-103.820000,top,180
R22,92.964000,-70.104000,top,90
R23,119.378000,-77.978000,top,0
R24,107.442000,-94.488000,top,270
R25,76.200000,-82.550000,top,180
SW1,116.470000,-124.194000,top,90
SW2,89.916000,-128.778000,top,0
U1,85.050000,-106.640000,top,180
U2,99.314000,-120.904000,top,0
U3,87.630000,-119.380000,top,90
U4,99.710000,-82.070000,top,90
U5,99.710000,-100.330000,top,0
Y1,109.820000,-122.780000,top,270
